Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
NTSE,81.61,53.89,45.11,42.1,56.96,92.17,92.17,92.17,92.17,66.84,100.0,5.45
OCTW,66.88,57.25,45.1,39.31,100.0,73.59,41.08,41.08,41.08,46.19,80.72,43.62
FPX,66.63,52.29,45.09,171.9,66.56,75.43,61.79,61.79,61.79,64.3,88.58,13.04
SPUT,71.73,58.13,45.07,27.1,59.75,76.86,76.86,76.86,76.86,45.89,87.79,39.82
NVBW,80.16,55.7,45.07,34.03,100.0,71.66,71.66,71.66,71.66,47.59,78.91,40.45
WBIG,68.02,50.21,45.03,23.86,100.0,54.32,54.32,54.32,54.32,51.31,81.0,22.58
EVLU,73.55,63.45,45.0,35.26,63.69,77.78,77.78,77.78,77.78,62.47,100.0,32.09
EXI,67.92,60.5,44.78,192.7,100.0,53.81,54.37,54.37,54.37,61.76,96.7,28.05
XLP,67.74,57.86,44.72,81.36,100.0,60.62,50.41,50.28,49.58,71.45,36.44,68.1
MAYT,100.0,58.15,44.63,37.74,100.0,100.0,100.0,100.0,100.0,47.9,88.36,38.13
FINT,78.85,62.22,44.58,34.33,46.81,92.58,92.58,92.58,92.58,54.83,97.24,36.2
JXX,77.19,49.81,44.57,26.57,100.0,67.41,67.41,67.41,67.41,61.39,70.54,24.43
BUYW,69.45,59.91,44.32,14.28,91.87,65.24,56.84,56.84,56.84,51.34,80.12,47.58
WCME,77.19,61.85,44.14,17.8,30.86,97.12,97.0,97.0,97.0,65.87,90.95,33.87
BATT,67.92,51.12,43.88,16.14,83.4,56.63,63.88,63.88,63.88,55.66,100.0,5.51
PEVC,99.08,52.38,43.87,27.07,99.08,99.08,99.08,99.08,99.08,61.43,84.77,18.38
TEMX,91.39,64.28,43.82,31.94,100.0,87.7,87.7,87.7,87.7,69.64,94.28,34.68
PKB,79.45,54.62,43.52,104.46,100.0,82.6,63.99,63.99,63.99,61.21,96.75,13.64
BCD,69.33,53.87,43.46,36.25,100.0,66.86,50.25,50.25,50.25,31.8,100.0,27.29
UMMA,66.89,56.13,43.28,32.81,100.0,52.8,52.65,52.65,52.65,63.78,100.0,12.97
HYG,69.25,70.78,43.09,80.13,100.0,63.94,52.98,51.13,49.04,70.33,73.48,68.7
IWDL,71.24,53.41,42.94,52.84,45.66,82.21,82.21,82.21,82.21,61.09,100.0,7.85
IYLD,65.4,52.93,42.91,22.02,93.61,61.19,48.93,48.93,48.93,44.03,90.12,25.95
FPXI,71.71,50.52,42.88,68.43,64.2,74.93,74.93,74.93,74.93,58.95,95.54,5.87
XTL,68.35,54.33,42.67,207.9,100.0,55.79,53.48,54.88,55.48,59.37,100.0,11.22
CARZ,77.08,52.6,42.55,89.36,94.62,69.56,69.56,69.56,69.56,61.67,100.0,5.45
DDX,75.48,50.86,42.4,24.6,38.31,91.41,91.41,91.41,91.41,46.07,81.2,27.3
MISL,72.55,67.23,42.39,47.2,89.47,80.1,50.62,52.16,78.15,63.64,100.0,40.8
QMOM,70.23,55.73,42.39,74.24,100.0,58.38,56.97,56.97,56.97,61.27,89.66,22.59
QTUM,68.89,61.87,42.35,118.28,95.97,61.03,54.11,54.55,58.57,67.32,94.63,29.8
STXE,72.27,64.22,42.25,42.53,79.9,69.63,68.65,68.65,68.65,68.63,100.0,30.15
TSMY,67.87,57.64,42.06,16.23,100.0,73.04,42.84,43.6,45.38,65.31,100.0,15.78
PPEM,75.27,64.15,41.99,20.09,66.77,78.92,78.92,78.92,78.92,67.61,100.0,30.61
TTEQ,72.95,54.76,41.98,33.37,100.0,43.85,71.08,71.08,71.08,67.01,84.68,20.92
PYZ,68.69,52.96,41.97,126.37,72.53,67.05,67.05,67.05,67.05,50.0,100.0,13.65
FEP,65.65,51.59,41.83,57.72,89.03,65.74,50.02,50.02,50.02,55.29,97.16,9.41
RSHO,70.96,58.97,41.73,54.6,100.0,62.25,56.43,56.43,56.43,62.01,100.0,21.18
